time_start,time_end,speakerId,convId,word,langId,posTag,word_length,concretenessRating,position_of_word,isCognate,subtlex_freq_per_million,ipa_word,length_in_phonemes_ipa,uttId
124,3849,CHL,herring1,well,eng,INTJ,4,3.33,1,0,2990.647059,wɛl,3,0
124,3849,CHL,herring1,she,eng,PRON,3,3.36,2,0,3732.882353,ʃi,2,0
124,3849,CHL,herring1,was,eng,AUX,3,1.69,3,0,5654.72549,wɑz,3,0
124,3849,CHL,herring1,telling,eng,VERB,7,2.45,4,0,190.7843137,tɛlɪŋ,5,0
124,3849,CHL,herring1,me,eng,PRON,2,4.33,5,0,9241.941176,mi,2,0
124,3849,CHL,herring1,about,eng,ADP,5,1.77,6,0,3631.490196,əbawt,5,0
124,3849,CHL,herring1,this,eng,DET,4,2.14,7,0,7978.72549,ðɪs,3,0
124,3849,CHL,herring1,thing,eng,NOUN,5,3.17,8,0,1088.666667,θɪŋ,3,0
124,3849,CHL,herring1,with,eng,ADP,4,2.0,9,0,5048.333333,wɪð,3,0
124,3849,CHL,herring1,oprah,shared_en,PROPN,5,-1.0,10,0,-1.0,owpɹə,5,0
4031,6182,CHL,herring1,that,eng,SCONJ,4,1.54,1,0,14111.31373,ðæt,3,1
4031,6182,CHL,herring1,she,eng,PRON,3,3.36,2,0,3732.882353,ʃi,2,1
4031,6182,CHL,herring1,'s,eng,VERB,1,-1.0,3,0,-1.0,z,1,1
4031,6182,CHL,herring1,a,eng,DET,1,1.46,4,0,20415.27451,ə,1,1
4031,6182,CHL,herring1,new,eng,ADJ,3,2.81,5,0,723.7843137,nu,2,1
4031,6182,CHL,herring1,age,eng,NOUN,3,2.86,6,0,79.19607843,ejd͡ʒ,5,1
4031,6182,CHL,herring1,thing,eng,NOUN,5,3.17,7,0,1088.666667,θɪŋ,3,1
6215,7262,CHL,herring1,and,eng,CONJ,3,1.52,1,0,13387.84314,ænd,3,2
6215,7262,CHL,herring1,she,eng,PRON,3,3.36,2,0,3732.882353,ʃi,2,2
6215,7262,CHL,herring1,'s,eng,VERB,1,-1.0,3,0,-1.0,z,1,2
6215,7262,CHL,herring1,a,eng,DET,1,1.46,4,0,20415.27451,ə,1,2
6215,7262,CHL,herring1,book,eng,NOUN,4,4.9,5,0,176.9803922,bʊk,3,2
7509,9314,CHL,herring1,and,eng,CONJ,3,1.52,1,0,13387.84314,ænd,3,3
7509,9314,CHL,herring1,she,eng,PRON,3,3.36,2,0,3732.882353,ʃi,2,3
7509,9314,CHL,herring1,has,eng,VERB,3,-1.0,3,0,1133.921569,hæz,3,3
7509,9314,CHL,herring1,a,eng,DET,1,1.46,4,0,20415.27451,ə,1,3
7509,9314,CHL,herring1,video,shared_other,NOUN,5,4.67,5,0,41.2745098,vɪdiow,6,3
7509,9314,CHL,herring1,blog,eng,NOUN,4,3.92,6,0,0.647058824,blɑɡ,4,3
9436,12153,CHL,herring1,and,eng,CONJ,3,1.52,1,0,13387.84314,ænd,3,4
9436,12153,CHL,herring1,she,eng,PRON,3,3.36,2,0,3732.882353,ʃi,2,4
9436,12153,CHL,herring1,'s,eng,AUX,1,-1.0,3,0,-1.0,z,1,4
9436,12153,CHL,herring1,promoting,eng,VERB,9,-1.0,4,0,1.803921569,pɹəmowtɪŋ,9,4
9436,12153,CHL,herring1,her,eng,DET,3,3.0,5,0,2835.823529,hɹ̩,3,4
9436,12153,CHL,herring1,book,eng,NOUN,4,4.9,6,0,176.9803922,bʊk,3,4
9436,12153,CHL,herring1,after,eng,ADP,5,2.12,7,0,682.5882353,æftɹ̩,5,4
9436,12153,CHL,herring1,her,eng,DET,3,3.0,8,0,2835.823529,hɹ̩,3,4
9436,12153,CHL,herring1,show,eng,NOUN,4,3.97,9,1,488.3529412,ʃow,3,4
12085,12806,CHL,herring1,it,eng,PRON,2,2.81,1,0,18896.31373,ɪt,2,5
12085,12806,CHL,herring1,'s,eng,VERB,1,-1.0,2,0,-1.0,z,1,5
12085,12806,CHL,herring1,weird,eng,ADJ,5,1.59,3,0,101.0980392,wɪɹd,4,5
